fylke;fangstår;verdi
Telemark;2015;196
Telemark;2016;262
Telemark;2017;271
Telemark;2018;118
Telemark;2019;72
Vestfold;2000;255
Vestfold;2001;252
Vestfold;2002;174
Vestfold;2003;192
Vestfold;2004;336
Vestfold;2005;339
Vestfold;2006;199
Vestfold;2007;195
Vestfold;2008;192
Vestfold;2009;186
Vestfold;2010;367
Vestfold;2011;278
Vestfold;2012;271
Vestfold;2013;286
Vestfold;2014;271
Vestfold;2015;202
Vestfold;2016;123
Vestfold;2017;98
Vestfold;2018;75
Vestfold;2019;39
Oslo;2000;7
Oslo;2001;13
Oslo;2002;12
Oslo;2003;7
Oslo;2004;4
Oslo;2005;5
Oslo;2006;23
Oslo;2007;50
Oslo;2008;37
Oslo;2009;10
Oslo;2010;8
Oslo;2011;8
Oslo;2012;8
Oslo;2013;4
Oslo;2014;19
Oslo;2015;18
Oslo;2016;7
Oslo;2017;13
Oslo;2018;39
Oslo;2019;11
Buskerud;2000;7
Buskerud;2001;13
Buskerud;2002;8
Buskerud;2003;5
Buskerud;2004;4
Buskerud;2005;6
Buskerud;2006;7
Buskerud;2007;13
Buskerud;2008;9
Buskerud;2009;10
Buskerud;2010;3
Buskerud;2011;6
Buskerud;2012;6
Buskerud;2013;NaN
Buskerud;2014;10
Buskerud;2015;5
Buskerud;2016;21
Buskerud;2017;NaN
Buskerud;2018;NaN
Buskerud;2019;NaN
Akershus;2000;68
Akershus;2001;61
Akershus;2002;44
Akershus;2003;36
Akershus;2004;47
Akershus;2005;31
Akershus;2006;33
Akershus;2007;34
Akershus;2008;24
Akershus;2009;15
Akershus;2010;14
Akershus;2011;30
Akershus;2012;35
Akershus;2013;29
Akershus;2014;36
Akershus;2015;25
Akershus;2016;48
Akershus;2017;84
Akershus;2018;86
Akershus;2019;156
Østfold;2000;123
Østfold;2001;251
Østfold;2002;167
Østfold;2003;254
Østfold;2004;290
Østfold;2005;263
Østfold;2006;221
Østfold;2007;180
Østfold;2008;164
Østfold;2009;109
Østfold;2010;96
Østfold;2011;113
Østfold;2012;154
Østfold;2013;180
Østfold;2014;225
Østfold;2015;302
Østfold;2016;278
Østfold;2017;399
Østfold;2018;838
Østfold;2019;385
Uoppgitt;2000;4613
Uoppgitt;2001;5584
Uoppgitt;2002;5537
Uoppgitt;2003;5785
Uoppgitt;2004;4814
Uoppgitt;2005;4339
Uoppgitt;2006;4783
Uoppgitt;2007;5577
Uoppgitt;2008;6085
Uoppgitt;2009;2261
Uoppgitt;2010;2394
Uoppgitt;2011;2525
Uoppgitt;2012;3154
Uoppgitt;2013;2108
Uoppgitt;2014;1945
Uoppgitt;2015;1884
Uoppgitt;2016;2464
Uoppgitt;2017;2166
Uoppgitt;2018;2532
Uoppgitt;2019;3163
