År;Halten;Sklinna;Myken;Røst;Værøy;Helligvær;Reipå;Torsvåg;Målsvik
2010;-1.8;-1.2;-1.2;-0.9;-1.1;-1.2;-1.6;-0.8;-0.9
2011;0.5;0.8;0.5;0.7;0.6;0.7;1.1;0.8;1
2012;-0.7;-0.5;-0.8;-0.4;-0.7;-0.8;-1;-0.3;NaN
2013;-0.1;0.2;0.2;0.4;0.1;0.2;0.3;0.5;0.4
2014;1.5;1;0.8;0.3;0.6;0.7;0.6;0.4;0.3
2015;0.8;1;0.7;-0.3;0.4;0.6;1;0.5;0.7
2016;0.4;0.5;0.4;-0.3;0.4;0.4;0.3;0.7;0.8
2017;0.5;0.5;0.4;0.6;0.2;0.3;0.2;0.1;0.2
2018;0.1;0.2;0;0.4;0;0;-0.2;0.4;NaN
2020;0.8;1;0.6;0.8;0.4;0.7;1.1;0.5;0.5
